Id,Date,Satellite,Sensor,Cascading output,Path
True,2018-07-07T09:50:00,Sentinel 2,MSI,Thermal anomalies,20191209T095309_20191209T095309_T33SVB.jpg
True,2018-07-12T09:50:00,Sentinel 2,MSI,Thermal anomalies,20210404T094031_20210404T094342_T33SVB.jpg
True,2018-07-14T09:40:00,Sentinel 2,MSI,Thermal anomalies,20170712T095029_20170712T095623_T33SVB.jpg
True,2018-07-17T09:50:00,Sentinel 2,MSI,Thermal anomalies,20171119T095259_20171119T095407_T33SVB.jpg
True,2018-07-19T09:40:00,Sentinel 2,MSI,Thermal anomalies,20170329T095021_20170329T095024_T33SVB.jpg
True,2018-07-22T09:50:00,Sentinel 2,MSI,Thermal anomalies,20200328T095029_20200328T095751_T33SVB.jpg
True,2018-07-29T09:40:00,Sentinel 2,MSI,Thermal anomalies,20190113T095349_20190113T095350_T33SVB.jpg
True,2018-08-11T09:50:00,Sentinel 2,MSI,Thermal anomalies,20171111T094231_20171111T094227_T33SVB.jpg
True,2018-08-18T09:40:00,Sentinel 2,MSI,Thermal anomalies,20201004T095039_20201004T095033_T33SVB.jpg
True,2018-08-26T09:50:00,Sentinel 2,MSI,Thermal anomalies,20200103T095401_20200103T095402_T33SVB.jpg
True,2018-08-28T09:40:00,Sentinel 2,MSI,Lava Flows,20230419T094029_20230419T094032_T33SVB.jpg
True,2018-08-31T09:50:00,Sentinel 2,MSI,Thermal anomalies,20170405T094031_20170405T094419_T33SVB.jpg
True,2018-09-05T09:50:00,Sentinel 2,MSI,Thermal anomalies,20191206T094259_20191206T094328_T33SVB.jpg
True,2018-09-12T09:40:00,Sentinel 2,MSI,Thermal anomalies,20230522T094549_20230522T094803_T33SVB.jpg
True,2018-09-25T09:50:00,Sentinel 2,MSI,Thermal anomalies,20190415T094031_20190415T094033_T33SVB.jpg
True,2018-09-27T09:40:00,Sentinel 2,MSI,Thermal anomalies,20191124T095331_20191124T095329_T33SVB.jpg
True,2018-09-30T09:50:00,Sentinel 2,MSI,Thermal anomalies,20200422T095031_20200422T095031_T33SVB.jpg
True,2018-10-07T09:40:00,Sentinel 2,MSI,Thermal anomalies,20200613T094039_20200613T094203_T33SVB.jpg
True,2018-10-20T09:50:00,Sentinel 2,MSI,Thermal anomalies,20230519T093549_20230519T093836_T33SVB.jpg
True,2018-10-22T09:40:00,Sentinel 2,MSI,No activity,20230102T095319_20230102T095318_T33SVB.jpg
True,2018-10-25T09:50:00,Sentinel 2,MSI,Thermal anomalies,20171124T095331_20171124T095929_T33SVB.jpg
True,2018-10-27T09:41:00,Sentinel 2,MSI,Thermal anomalies,20181030T095121_20181030T095351_T33SVB.jpg
